PERMNO,date,TICKER,PRC,VOL
12060,2020-04-27,GE,6.43000,107038189
12060,2020-04-28,GE,6.80000,140668593
12060,2020-04-29,GE,6.58000,225227990
12060,2020-04-30,GE,6.80000,175711114
14593,2018-05-02,AAPL,176.57001,66541423
14593,2018-05-03,AAPL,176.89000,34064280
14593,2018-05-04,AAPL,183.83000,56354772
14593,2018-05-07,AAPL,185.16000,42445840
14593,2018-05-08,AAPL,186.05000,28400477
14593,2018-05-09,AAPL,187.36000,23203941
14593,2018-05-10,AAPL,190.03999,27979989
14593,2018-05-11,AAPL,188.59000,26309043
14593,2018-05-14,AAPL,188.14999,20773210
14593,2018-05-15,AAPL,186.44000,23693162
14593,2018-05-16,AAPL,188.17999,19174964
14593,2018-05-17,AAPL,186.99001,17359080
14593,2018-05-18,AAPL,186.31000,18293237
14593,2018-05-21,AAPL,187.63000,18398394
14593,2018-05-22,AAPL,187.16000,15235329
14593,2018-05-23,AAPL,188.36000,20053515
14593,2018-05-24,AAPL,188.14999,23224785
14593,2018-05-25,AAPL,188.58000,17456889
14593,2018-05-29,AAPL,187.89999,22512657
14593,2018-05-30,AAPL,187.50000,18688085
14593,2018-05-31,AAPL,186.87000,27468415
14593,2018-06-01,AAPL,190.24001,23437212
14593,2018-06-04,AAPL,191.83000,26261274
14593,2018-06-05,AAPL,193.31000,21558401
14593,2018-06-06,AAPL,193.98000,21127619
14593,2018-06-07,AAPL,193.46001,21345867
14593,2018-06-08,AAPL,191.70000,26651199
14593,2018-06-11,AAPL,191.23000,18306460
14593,2018-06-12,AAPL,192.28000,16881792
14593,2018-06-13,AAPL,190.70000,21626572
14593,2018-06-14,AAPL,190.80000,21604514
14593,2018-06-15,AAPL,188.84000,61962552
14593,2018-06-18,AAPL,188.74001,18481820
14593,2018-06-19,AAPL,185.69000,33566039
14593,2018-06-20,AAPL,186.50000,20623324
14593,2018-06-21,AAPL,185.46001,25652398
14593,2018-06-22,AAPL,184.92000,27185747
14593,2018-06-25,AAPL,182.17000,31651394
14593,2018-06-26,AAPL,184.42999,24530516
14593,2018-06-27,AAPL,184.16000,25214403
14593,2018-06-28,AAPL,185.50000,17346693
14593,2018-06-29,AAPL,185.11000,22597450
14593,2018-07-02,AAPL,187.17999,17612113
14593,2018-07-03,AAPL,183.92000,13909764
14593,2018-07-05,AAPL,185.39999,16592763
14593,2018-07-06,AAPL,187.97000,17474674
14593,2018-07-09,AAPL,190.58000,19740573
14593,2018-07-10,AAPL,190.35001,15875755
14593,2018-07-11,AAPL,187.88000,18819021
14593,2018-07-12,AAPL,191.03000,18031040
14593,2018-07-13,AAPL,191.33000,12487376
14593,2018-07-16,AAPL,190.91000,15030858
14593,2018-07-17,AAPL,191.45000,15501546
14593,2018-07-18,AAPL,190.39999,16369281
14593,2018-07-19,AAPL,191.88000,20261772
14593,2018-07-20,AAPL,191.44000,20363954
14593,2018-07-23,AAPL,191.61000,15978214
14593,2018-07-24,AAPL,193.00000,18566211
14593,2018-07-25,AAPL,194.82001,16658928
14593,2018-07-26,AAPL,194.21001,18896667
14593,2018-07-27,AAPL,190.98000,23956208
14593,2018-07-30,AAPL,189.91000,21026954
14593,2018-07-31,AAPL,190.28999,39413440
14593,2018-08-01,AAPL,201.50000,67929016
14593,2018-08-02,AAPL,207.39000,62403382
14593,2018-08-03,AAPL,207.99001,33455474
